custom-id-1,expected-gfa
81261,6327.12
107893,1604.22
43931,1986.69
43932,1175.58
44621,1236.8
43410,1510.83
70897,1496.22
98413,2216.28
43425,1006.65
43665,3193.48
34229,2112.82
34237,1209.32
44002,2167.56
43923,1079.88
33796,2075.73
6428,1235.22
87843,16703.37
44314,1047.75
44161,1325.01
121212,1149.78
44318,5615.1
44598,3267.39
57831,3000.96
44377,3889.74
43626,1172.88
74620,3073.86
44310,4804.44
64120,11879.72
95791,1327.88
122739,4532.39
79644,1506.75
130262,1231.47
43926,1807.29
96375,1787.23
44347,1939.7
44329,3148.95
116306,25730.28
44592,6997.84
34383,1066.02
101848,3602.46
82573,4940.34
67437,2000.07
44709,1063.26
44682,6643.4
65440,976.62
90356,1131.88
58701,3169.92
61185,5198.18
103880,59868.44
57244,7806.94
99155,1640.44
76597,25058.42
105018,4757.18
112800,999.24
44311,1263.36
44710,6968.94
64127,2110.35
90059,2522.91
43927,2445.47
121457,4608.73
44343,1940.01
43935,4711.14
44671,4783.59
98918,17093.7
108371,1695.96
85767,2773.26
81512,1964.64
115874,2917.95
43394,1510.8
44344,3815.48
132533,966.81
43928,2718.96
75477,5683.6
34364,1462
132170,1235.2
43929,2796.96
6379,1957.36
110182,6588.87
44766,1368.28
78330,2421.92
76517,5063.48
104164,2410.39
79432,13576.38
81195,7224.39
34312,21534.9
128079,3889.14
98910,2880.48
60305,3047.02
102647,3106.3
65685,3663.9
70728,3044.44
102005,3679.36
44006,1395.09
121854,6754.14
119981,10346.54
95981,4341.04
34157,1040.55
43933,2714.88
44326,3990.68
44357,934.56
44078,2826.96
44330,5274.4
44159,11832.72
34344,1245.55
56182,1452.44
34328,1420.58
127944,4579.23
60465,4237.29
69300,2002.59
3319,1131
120376,1989.17
3265,1294
119878,999.55
43378,1335.36
44325,8076.24
121521,1337.66
106150,6845.6
99963,1511.24
119185,2599.54
71778,2955.64
43382,1671.21
106775,4569.04
43936,1292.73
71188,6768.76
44321,3856.16
130167,8869.72
130166,1161.15
92340,2941.8
123144,4900.18
120973,1789.48
120715,980.1
121718,1976.5
119749,1036.26
123415,2435.44
121339,2288.72
123421,13597.92
119823,1993.66
122577,3582.66
85978,9979.44
64761,1226.19
116128,2106.7
130269,11287.02
91841,3027.36
99171,4366.48
128287,3571.48
120636,1145.93
44346,3744.16
44345,2345.88
90099,1486.18
106465,1050.4
50241,3640.67
44861,4874.94
44079,2062.72
34337,8428.21
34148,5320.24
34361,7037.1
44688,1490.31
111986,946.34
59573,1016.82
44352,2530.36
60935,4187.34
34159,14192.4
140261,946.96
116559,1471.67
130173,4890.22
34227,7950.94
131974,4247.7
123691,3280
44544,9129.39
119116,3599.44
44331,1954.74
44354,2417.66
80634,2895.8
43934,3306.66
43548,3403.95
44756,1721.38
97849,3312.84
112260,3332.91
44334,1614.9
44121,4242.84
44652,1025.23
125792,1130.76
90462,2245.23
120460,4907.68
130592,9222.6
127621,939.96
106625,4942.08
123746,1387.78
122549,27520.02
121493,2717.28
44355,1390.8
50405,23096.96
33855,8389.64
80791,11973.84
44546,4799.48
67212,4584.68
84498,2560.95
120865,2272
56952,1933.89
123706,953.92
132163,1980.94
99287,4270.32
77609,1414.24
110110,956.97
113658,954.96
116924,1920.12
132966,1344
119132,4503.97
130993,968.32
44650,6028.17
44649,5096.52
44654,45452.75
44336,2740.62
119783,970.57
120887,988.14
133101,3724.92
69239,1819.66
83245,957.9
133107,1250.7
120727,1049.9
118723,1487.5
119257,3245.02
49935,1041.83
109617,3937.89
112581,1345.89
74842,6821.36
63852,5976.24
69343,1779.12
117054,3474.2
110758,2246.44
57823,7714.26
82603,15092.52
110772,2223.46
115996,1552.5
89943,1403.86
44668,3357
50734,1398.44
34165,7115.04
133106,2014.72
133100,955.96
133103,4605.38
125338,2049.38
130510,2547.46
125327,4201.44
125373,2064.74
130511,3527.36
125408,1597.15
125378,1353.56
130506,5890.66
84435,4426.62
130149,4911.36
130146,69792.92
130150,5935.64
130142,6726.76
130140,3102.27
130141,2978.44
130143,1535.6
130139,3010.26
130145,9194.38
130151,14963.43
43940,3168.51
137101,1156.16
101314,5308.48
112213,1392.56
88364,960.08
44335,1211.73
115137,6386.25
132733,1603.71
49940,1429.32
133109,2764.28
133160,3186.15
114398,2565.07
70643,1950.85
125049,12965.6
133104,2563.56
125032,9320.3
125038,2478.8
127793,3978.48
127713,2458.9
127738,3443.85
137104,1768.47
137105,1768.44
133108,2954.79
68108,1670.68
75322,1565.26
64107,18395.5
109418,945.59
120339,2764.17
34362,3806.16
34367,5746.64
34365,2285.43
34368,5792.01
35216,1030.26
121561,10223.24
120097,1056.18
121237,43502.28
127131,1138.55
107152,1054.99
86466,9730.17
106620,1548.91
44628,1896.12
44620,1103.91
60171,1843.42
